be ,2
ok ,1
the ,113
u ,438
s ,8
ur ,2
presidential ,1
from ,52
u ,154
k ,31
s ,6
"york, ",10
avocado ,46
fav ,52
says ,1
hillary ,1
u ,1
penchant ,1
4,1
"yah, ",1
ok ,5
think ,1
u ,42
r ,7
receives ,1
4,1
shut ,146
mlb ,1
s ,1
k ,1
j ,9
k ,2
all ,1
r ,1
him ,1
4,2
"shore, ",1
shows ,1
cuz ,1
no ,1
trump ,6
bc ,8
entering ,46
s ,1
"province, ",1
mixtape ,1
w/ ,3
let ,3
u ,9
news ,1
p ,1
is ,1
k ,6
nomination ,1
r ,2
tfw ,1
ur ,1
and ,8
u ,7
and ,8
kkk ,7
ã¢â?â¡ã¯âžâ?u ,1
s ,1
speech ,1
v ,1
bi0 ,4
trump ,84
v ,82
my ,1
save ,1
ur ,2
to ,5
"asheville, ",1
ppl ,1
w/ ,1
modern ,1
s ,1
deport ,1
up ,2
ýraqã¢â¬â¢ ,1
r ,1
remember ,1
n ,1
in ,34
n ,70
y ,34
fred ,3
c ,3
"atlanta, ",18
damage ,1
s ,1
freedom ,2
gop ,2
s ,1
ur ,6
"venice, ",1
attacking ,1
"charlottesville, ",1
waiting ,4
4,21
when ,1
n ,1
d ,11
c ,1
"tn/philadelphia, ",3
"greensboro, ",1
former ,1
s ,1
u ,4
ok ,1
hanson: ,3
p ,6
c ,3
security ,1
n ,1
finds ,1
b ,1
6,2
p ,2
as ,1
v ,2
p ,1
say ,1
u ,1
two ,1
b4 ,1
obama ,1
v ,1
tells ,4
u ,2
s ,1
k ,5
"angeles, ",12
from ,3
ne ,32
hope ,3
u ,1
like ,315
train ,2
cuz ,2
"richmond, ",4
on ,1
cambridge ,1
difference ,1
add ,1
urge ,2
u ,6
us ,1
r ,1
09/11/15,1
b/c ,7
#notfittobepotusa ,1
pls ,3
not ,2
ur ,2
leading ,6
g ,9
o ,9
p ,5
atlanta ,1
ga ,1
deeply ,1
no ,1
r ,3
v ,1
(documented) ,1
kkk ,1
millions ,1
u ,6
home ,1
4,1
shit ,1
"vegas, ",6
of ,3
tower ,1
def ,1
#dumptrump ,1
cuz ,1
think ,1
some1 ,1
only ,1
add ,4
"surrey, ",1
u ,1
u ,9
// ,1
cuz ,2
4,1
is ,5
ok ,25
guys ,1
plz ,1
did ,2
spk ,2
that ,1
hahaha ,2
trevor ,1
pls ,1
s ,1
pueblow ,2
all ,2
vote ,48
4,1
"haddonfield, ",1
e ,2
p ,1
"fayetteville, ",1
the ,17
people ,1
or ,1
ever ,1
b ,3
candidate ,1
4,1
#donaldtrump ,1
"shropshire, ",1
"bradenton, ",1
about ,3
20,3
close ,4
s ,4
"roseville, ",1
trump ,12
k ,9
ã¢â¬åwe ,2
r ,2
says ,1
n ,1
fuquay,1
u ,1
what ,34
u ,32
polls ,4
u ,13
4,14
fight ,2
u ,7
trump ,12
4,3
"boston, ",8
u ,2
as ,1
u ,8
u ,1
"raleigh, ",3
back ,1
4,4
too ,1
4,1
agree ,4
w/ ,1
ýf ,11
u ,1
they ,18
r ,2
convention ,1
u ,1
may ,5
b ,1
46' ,1
n ,1
we ,17
r ,1
"philadelphia, ",2
on ,3
ur ,1
did ,7
u ,4
before ,6
u ,2
in ,6
k ,2
speaker ,1
r ,2
"rochester, ",2
"hartford, ",1
"carleton, ",1
black ,1
n ,1
"baltimore, ",1
s ,3
need ,1
ur ,1
celebs ,1
r ,2
was ,2
ok ,1
thank ,2
u ,1
fallýng ,1
"diego, ",2
a ,2
4,1
waýt ,3
4,3
wanna ,1
f ,2
w/ ,9
uk ,3
the ,1
"detroitlicious, ",1
"albuquerque, ",1
making ,3
hay ,3
wot ,1
r ,1
"anus, ",1
n ,2
be ,1
u ,1
usa ,1
were ,1
u ,1
hr ,7
b4 ,7
"naugatuck, ",2
rn ,2
bc ,3
", ",1
ok ,1
hand ,1
ova ,1
working ,1
4,1
backfire ,1
u ,4
say ,1
ok ,2
and ,1
msm ,1
s ,23
country ,1
bc ,1
what's ,1
on ,2
u ,1
heads ,1
address ,1
"empire, ",1
yo ,1
in ,4
ur ,1
into ,1
president ,5
"acworth, ",1
"beach, ",3
don't ,2
today: ,2
ur ,5
k ,2
eaten ,22
bc ,22
capital ,1
2,2
"orleans, ",1
s ,1
k ,1
comment ,1
b/c ,1
mtg ,1
"tampa, ",3
die ,2
4,3
ur ,1
"hialeah, ",1
voting ,14
w ,4
u ,2
n ,1
fucked ,1
gope ,1
r ,2
ýnternet ,1
upstate ,1
not ,1
b ,1
prep ,1
4,1
too ,1
u ,4
"bay, ",1
in ,1
y ,1
"antonio, ",1
rightly ,1
primaries ,1
r ,2
s ,1
ban ,1
s ,1
"blacksburg, ",1
ur ,1
r ,1
pedreiras ,1
lýes ,1
u ,1
take ,1
hook ,1
n ,2
every1 ,2
the ,20
kkk ,1
kkk ,2
here ,1
ur ,1
o ,3
could ,1
c ,1
if ,14
"springs/miami, ",1
s ,16
a ,3
l ,2
a ,3
u ,1
ýdýots ,1
r ,1
"consequences, ",1
ur ,1
but ,2
u ,1
chapo ,1
v ,1
"california, ",2
trump's ,1
y ,2
c ,1
how ,3
r ,4
u ,3
to ,5
20,3
"mcdonough, ",1
r ,1
dm ,1
u ,1
ground ,1
u ,2
grandparents ,1
r ,1
u ,17
glad ,1
u ,1
pulled ,1
ur ,1
alpha ,1
"francisco, ",2
get ,1
r ,1
r ,1
"jolla, ",1
"cýrcle, ",1
c ,3
why ,1
r ,12
u ,2
will ,4
u ,1
stupid ,1
bc ,1
funny ,1
ok ,2
that's ,2
american ,1
"on, ",1
ýsl ,1
great ,3
r ,6
dem ,3
s ,10
win ,1
u ,1
people ,1
r ,1
love ,2
u ,6
kkk ,4
yourself ,4
a ,10
dem ,1
one ,1
"platform, ",1
huh ,1
thanks ,1
r ,1
kkk ,6
countries ,1
r ,4
oh ,3
ok ,1
when ,3
r ,1
k ,7
n ,16
s ,2
"speech, ",1
is ,1
u ,1
kkk ,1
"anytown, ",1
lýne ,4
ur ,4
s ,5
"zirconia, ",2
trump ,7
hard ,1
u ,1
hahaha ,1
kkk ,6
yeah ,1
meeting ,1
w/ ,1
beach ,1
about ,1
s ,1
"manistee, ",1
eff ,1
u ,1
that ,1
n ,1
dem ,1
4,1
roast ,1
4,1
"hartford, ",2
r ,1
again ,2
4,2
work ,1
"ny, ",1
them ,1
conservatism ,1
w/ ,2
picture* ,1
hahaha ,1
too ,1
protecting ,1
r ,1
js ,1
t ,1
k ,1
are ,5
u ,1
"edina, ",1
"amherst, ",1
madness ,1
r ,1
maturity ,1
n ,1
do ,15
u ,2
sorry ,1
4,1
were ,4
ok ,11
it's ,9
what ,1
da ,1
ok ,1
getting ,1
ur ,1
wins ,1
dem ,1
future: ,1
fwd ,1
for ,3
could ,3
got ,1
4,1
levin ,4
u ,4
r ,1
huh ,1
"nazareth, ",1
+ ,1
4,1
mebane ,2
go ,1
f ,1
u ,1
that ,1
r ,1
waýtýn ,1
curve ,1
prepare ,5
4,4
or ,2
